text,label
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
Phim mới ra mắt tuần này thật tuyệt vời!,pos
Tôi không thể chịu đựng nổi cách mà người nổi tiếng này cư xử.,neu
Bữa tiệc cuối tuần vừa rồi thật là chán.,neu
Cảnh hoàng hôn hôm nay quá đẹp.,pos
"Mọi người ơi, ai biết cách sửa lỗi này không?",neu
Bóng đá đêm qua thật là kịch tính!,neg
Tôi mệt mỏi với những tin tức tiêu cực mỗi ngày.,neg
Album mới của ca sĩ yêu thích đã ra mắt!,pos
Không thể tin được team yêu thích của tôi lại thua.,neg
Bữa tiệc BBQ cuối tuần này sẽ vui lắm đây.,neg
Chính trị hiện nay thật là phức tạp.,neu
Thật là một ngày tuyệt vời để chạy bộ!,neg
Tôi thất vọng với kết quả thi của mình.,pos
Lễ hội âm nhạc này thật là điên rồ!,neu
Chỉ mong mọi người đều sống hòa bình và yêu thương nhau.,neg
